max_reports,Mean C-index,Std C-index,Patients,Décédés,mean_study_time (days),std_study_time (days),Execution Time (s),Mean reports per patient,Std reports per patient
2,0.6239154164905794,0.0245704181761633,7121,4983,1741.834,1787.831,276.22,2.0,0.0
3,0.6357644248391572,0.017008349241691163,7121,4983,1741.834,1787.831,366.44,2.991,0.093
4,0.645641666259842,0.0194589422093259,7121,4983,1741.834,1787.831,282.48,4.0,0.21
5,0.6521033665352574,0.021302468770546555,7121,4983,1741.834,1787.831,557.13,4.939,0.362
6,0.6583385151950285,0.02088876983479,7121,4983,1741.834,1787.831,445.45,5.9,0.54
7,0.6613175512935234,0.02343965962836352,7121,4983,1741.834,1787.831,519.3,6.836,0.74
8,0.660826618159351,0.0202433549423621,7121,4983,1741.834,1787.831,576.08,7.8,0.96
9,0.6629648530667338,0.021098761096803635,7121,4983,1741.834,1787.831,355.1,8.694,1.186
10,0.6672215524563878,0.0225709136751684,7121,4983,1741.834,1787.831,323.01,9.6,1.43
11,0.6738875550797774,0.020196077092571003,7121,4983,1741.834,1787.831,421.87,10.498,1.689
12,0.6756174706628398,0.019938422241699554,7121,4983,1741.834,1787.831,393.93,11.381,1.96
13,0.6786314936347435,0.01903783707174499,7121,4983,1741.834,1787.831,405.88,12.252,2.243
14,0.6746063937307462,0.021547333456981708,7121,4983,1741.834,1787.831,380.07,13.109,2.537
15,0.6795384433246294,0.0168949877834976,7121,4983,1741.834,1787.831,306.41,14.0,2.84
16,0.677638997727868,0.016565426637924065,7121,4983,1741.834,1787.831,381.35,14.78,3.155
17,0.6829295863533879,0.018348341426463844,7121,4983,1741.834,1787.831,362.3,15.592,3.477
18,0.6841878301792546,0.01719702883840422,7121,4983,1741.834,1787.831,378.29,16.392,3.808
19,0.6856460574201307,0.018806796517916988,7121,4983,1741.834,1787.831,421.16,17.175,4.146
20,0.6875160480802935,0.0195183345901638,7121,4983,1741.834,1787.831,345.84,17.9,4.49
21,0.6882965509318575,0.016804463391256713,7121,4983,1741.834,1787.831,449.31,18.691,4.842
22,0.6907588183794141,0.01909725719015043,7121,4983,1741.834,1787.831,365.22,19.422,5.198
23,0.6928903841682275,0.017924589251380418,7121,4983,1741.834,1787.831,387.31,20.137,5.56
24,0.6953886914774449,0.02094170454029128,7121,4983,1741.834,1787.831,363.49,20.837,5.927
25,0.698730488399376,0.0202969646144181,7121,4983,1741.834,1787.831,306.85,21.5,6.3
26,0.6999063586162029,0.0206713423031617,7121,4983,1741.834,1787.831,368.43,22.185,6.672
27,0.7036427137625199,0.01761112929270035,7121,4983,1741.834,1787.831,367.97,22.832,7.049
30,0.7142874091099973,0.0172466494720967,7121,4983,1741.834,1787.831,321.24,24.7,8.19
32,0.7160406884232743,0.0177111875624112,7121,4983,1741.834,1787.831,299.94,25.8,8.95
34,0.7189978575537823,0.0170818014856902,7121,4983,1741.834,1787.831,345.43,26.9,9.71
36,0.7217064072024864,0.0188029486810914,7121,4983,1741.834,1787.831,328.41,27.9,10.47
38,0.7259582518200595,0.0167578949809699,7121,4983,1741.834,1787.831,300.21,28.8,11.21
40,0.7295295875478057,0.0163675638461761,7121,4983,1741.834,1787.831,341.26,29.7,11.94
42,0.7305560855083169,0.0175190179165013,7121,4983,1741.834,1787.831,362.65,30.5,12.64
44,0.7312681480359262,0.0180375021469078,7121,4983,1741.834,1787.831,330.63,31.2,13.33
46,0.732880198420664,0.0168337540953585,7121,4983,1741.834,1787.831,339.2,31.9,13.99
48,0.7332356367804921,0.016773051718772,7121,4983,1741.834,1787.831,297.2,32.5,14.64
50,0.7374031763601308,0.0153859971347181,7121,4983,1741.834,1787.831,299.39,33.1,15.25
52,0.7398043526607715,0.0157511925633596,7121,4983,1741.834,1787.831,310.62,33.6,15.84
54,0.739386574033165,0.0156121985099747,7121,4983,1741.834,1787.831,338.0,34.0,16.4
56,0.7421643909462473,0.0157208376444566,7121,4983,1741.834,1787.831,341.6,34.5,16.93
58,0.7429564385661065,0.0170789145826172,7121,4983,1741.834,1787.831,359.09,34.9,17.44
60,0.7455324150715819,0.0146524315049327,7121,4983,1741.834,1787.831,350.41,35.2,17.91
62,0.7458323106103295,0.0157989835801674,7121,4983,1741.834,1787.831,378.57,35.5,18.36
64,0.7467235964901552,0.0146562479308904,7121,4983,1741.834,1787.831,374.53,35.8,18.79
66,0.7471241017479984,0.0156331466275018,7121,4983,1741.834,1787.831,401.85,36.1,19.19
68,0.7463398505670309,0.0145205731960657,7121,4983,1741.834,1787.831,398.52,36.3,19.56
